frame_idx,timestamp,mic_rms,mic_peak,ref_rms,ref_peak,ref_is_silence,delay_samples,delay_ms,is_double_talk,nlms_residual_rms,echo_est_rms,nls_output_rms,nls_bypassed,erle_instant_db,filter_norm,process_time_ms
24,1774518049.8142,0.00085947,0.003571,0.09218198,0.352020,0,0,0.00,0,0.00521709,0.00538970,0.00521709,1,-15.66,0.059128,17.372
25,1774518049.8735,0.00065928,0.001770,0.29192805,0.990662,0,0,0.00,0,0.00387470,0.00387407,0.00278198,0,-12.51,0.058411,17.422
26,1774518049.9445,0.00105763,0.004761,0.29318803,0.992615,0,0,0.00,0,0.00478514,0.00493143,0.00108824,0,-0.25,0.057697,17.795
27,1774518050.0061,0.00151234,0.003937,0.23955609,0.891144,0,68,4.25,0,0.00720267,0.00732809,0.00074033,0,6.20,0.055929,18.497
28,1774518050.0663,0.02492333,0.145844,0.23083615,0.872986,0,68,4.25,0,0.01676537,0.01644571,0.00120864,0,26.29,0.061476,17.386
29,1774518050.1218,0.26757344,0.993195,0.09481201,0.623322,0,68,4.25,1,0.26630731,0.02618036,0.01623239,0,24.34,0.061476,5.741
30,1774518050.1824,0.13463441,0.696747,0.10996158,0.675293,0,68,4.25,1,0.13440043,0.01510475,0.13440043,1,0.02,0.061476,5.923
31,1774518050.2538,0.21625444,0.947998,0.29051249,0.992218,0,359,22.44,1,0.21683952,0.01475582,0.13381540,0,4.17,0.061476,5.778
32,1774518050.3136,0.29632524,0.991272,0.32678424,0.995728,0,359,22.44,1,0.29700877,0.01419088,0.21490364,0,2.79,0.061476,6.275
1,1774518050.3734,0.22137961,0.818024,0.27144252,0.990356,0,359,22.44,1,0.22161655,0.01099697,0.22161655,1,-0.01,0.061476,5.852
2,1774518050.4427,0.18699385,0.625885,0.21561564,0.745483,0,359,22.44,1,0.18724779,0.01316755,0.18724779,1,-0.01,0.061476,5.636
3,1774518050.5034,0.13865719,0.551117,0.26026464,0.827850,0,39,2.44,1,0.13592666,0.01951981,0.13592666,1,0.17,0.061476,7.075
4,1774518050.5727,0.02796722,0.085663,0.22066220,0.680725,0,39,2.44,1,0.03436818,0.01598373,0.03436818,1,-1.79,0.061476,5.549
5,1774518050.6441,0.19016338,0.724548,0.17348811,0.575562,0,39,2.44,0,0.13726950,0.11384920,0.02775730,0,16.71,0.249324,17.771
6,1774518050.6925,0.33063193,0.940460,0.11725553,0.529205,0,39,2.44,1,0.34347769,0.08823191,0.12724251,0,8.29,0.249324,5.663
7,1774518050.7630,0.32303413,0.932648,0.04506155,0.147827,0,4097,256.06,1,0.32265877,0.05273660,0.32265877,1,0.01,0.249324,6.473
8,1774518050.8221,0.23492944,0.737335,0.00728977,0.030182,0,4097,256.06,1,0.23514132,0.04586455,0.23514132,1,-0.01,0.249324,5.887
9,1774518050.8930,0.33077448,0.994019,0.00045598,0.002350,0,4097,256.06,1,0.34110344,0.08986530,0.22337401,0,3.41,0.249324,6.150
10,1774518050.9526,0.29544343,0.994049,0.00077616,0.002747,0,4097,256.06,1,0.30659656,0.05503903,0.30659656,1,-0.32,0.249324,5.440
11,1774518051.0128,0.22186021,0.793091,0.00005720,0.000305,0,0,0.00,1,0.22722351,0.04809233,0.22722351,1,-0.21,0.249324,5.911
12,1774518051.0825,0.20272008,0.726349,0.00007561,0.000305,0,0,0.00,1,0.20521110,0.03986615,0.20521110,1,-0.11,0.249324,5.503
13,1774518051.1436,0.13394262,0.562408,0.00004699,0.000183,0,0,0.00,1,0.14149647,0.04802447,0.14149647,1,-0.48,0.249324,6.587
14,1774518051.2117,0.02319790,0.086670,0.00005137,0.000183,0,0,0.00,1,0.02900749,0.01885310,0.02900749,1,-1.94,0.249324,5.481
15,1774518051.2735,0.00291492,0.009827,0.00004659,0.000183,0,0,0.00,1,0.00291494,0.00002098,0.00291494,1,-0.00,0.249324,6.464
16,1774518051.3340,0.00158630,0.004669,0.00003976,0.000183,0,0,0.00,1,0.00158886,0.00001781,0.00075765,0,6.42,0.249324,6.501
17,1774518051.4028,0.00111970,0.003113,0.00003336,0.000122,0,0,0.00,1,0.00112169,0.00002017,0.00007665,0,23.22,0.249324,6.523
18,1774518051.4626,0.00107255,0.002991,0.00002582,0.000153,0,0,0.00,1,0.00107165,0.00002553,0.00005325,0,25.93,0.249324,5.620
19,1774518051.5326,0.00157997,0.006104,0.00001819,0.000122,0,0,0.00,1,0.00157848,0.00002272,0.00004790,0,30.18,0.249324,6.139
20,1774518051.5921,0.00104562,0.003815,0.00002819,0.000122,0,0,0.00,1,0.00104568,0.00001286,0.00007055,0,23.33,0.249324,5.895
21,1774518051.6545,0.00079418,0.002228,0.00002467,0.000153,0,0,0.00,1,0.00079177,0.00001674,0.00004677,0,24.41,0.249324,5.648
22,1774518051.7228,0.00079312,0.004333,0.00001649,0.000092,0,0,0.00,1,0.00079475,0.00001173,0.00003543,0,26.67,0.249324,5.845
23,1774518051.7830,0.00445151,0.030975,0.00001195,0.000061,0,0,0.00,1,0.00445166,0.00001211,0.00003553,0,41.63,0.249324,6.595
24,1774518051.8540,0.04694701,0.167236,0.00001083,0.000061,0,0,0.00,1,0.04694654,0.00001564,0.00324827,0,23.20,0.249324,6.408
25,1774518051.9136,0.07648346,0.208801,0.00001128,0.000061,0,0,0.00,1,0.07648388,0.00001101,0.04482007,0,4.64,0.249324,6.546
